topic,rank,keyword,weight
0,1,scam,0.014210184860862037
0,2,bnpl,0.010258767759573772
0,3,synthetic,0.009394573138376293
0,4,merchants,0.008363693663881604
0,5,money,0.00668371175446711
0,6,app,0.006622222203717208
0,7,synthetic identity,0.0065369895675200015
0,8,manager,0.006478729148803123
0,9,commerce fraud,0.0063661587841265166
0,10,chargeback fraud,0.006210886618660016
0,11,buy,0.006172473678241896
0,12,identities,0.005928897514727443
0,13,issuers,0.005563083011081039
0,14,fraud manager,0.005531273183980499
0,15,score,0.005279253625861013
0,16,performance,0.005222172108248039
0,17,data sharing,0.005135015802575137
0,18,transaction monitoring,0.005110710004632367
0,19,victims,0.0050989371415471
0,20,reimbursement,0.005086822525363239
0,21,later,0.004813437129461512
0,22,fraud risk,0.004791290629342843
0,23,bust,0.004764349104399631
0,24,fraud management,0.004717260145151414
0,25,buy pay,0.004652044485636988
0,26,pay later,0.004511977767761589
0,27,quickly,0.00448628703232943
0,28,scammers,0.004365896016317438
0,29,trends,0.004350781140249248
0,30,actions,0.004170798504364197
0,31,ato,0.004163920696833205
0,32,flow,0.004039535534847279
0,33,outseer secure,0.004039535534847279
0,34,fraud occurs,0.004029647513908407
0,35,prevent fraud,0.0039525983431516285
0,36,risk score,0.003942909603641073
0,37,fraud monitoring,0.003908449732100736
0,38,right,0.003849967850182335
0,39,cases,0.0037265319711960094
0,40,lead,0.003712789268134701
0,41,marketplaces,0.0036575509882315585
0,42,tactics,0.003606947468517233
0,43,options,0.00359856948540888
0,44,data consortium,0.003568584538005021
0,45,processors,0.0035616062752155796
0,46,stopping,0.003505884581939294
0,47,stolen credit,0.003505884581939294
0,48,synthetic identities,0.003505884581939294
0,49,card issuers,0.003410283761730866
0,50,human,0.003399715080887599
1,1,fraudaction,0.030301522750107196
1,2,app,0.02548437322313392
1,3,hook,0.015085945936165732
1,4,lockbit,0.012479284547457715
1,5,rogue apps,0.012352342748758875
1,6,url,0.012292015605451989
1,7,outseer fraudaction,0.012267847761389427
1,8,domain,0.012198375963481448
1,9,digital fraud,0.011028877454248995
1,10,brand abuse,0.010624012105061507
1,11,targeting,0.010556387116021387
1,12,cti,0.010153848075647306
1,13,telegram,0.009291927817960337
1,14,app stores,0.009062730280457822
1,15,victims,0.009053350044171795
1,16,russian,0.00882733142706232
1,17,trends,0.008610768347755926
1,18,tactics,0.00856634836625607
1,19,actors,0.008189513508204255
1,20,mobile phishing,0.008134288562518409
1,21,cybercrime,0.007703320738389148
1,22,detection capabilities,0.007617337174524237
1,23,ransomware,0.007538807327251892
1,24,urls,0.007177313437516243
1,25,emails,0.007150772116523607
1,26,android,0.006896432427961477
1,27,defense,0.006797047710343367
1,28,recipients,0.0066988258750151596
1,29,stealing,0.006596456411345405
1,30,info,0.006449634942129815
1,31,trojans,0.006410647244843201
1,32,leak,0.00638628804465616
1,33,takedown,0.006116803160007503
1,34,brands,0.006088498420694603
1,35,russia,0.005953509177350598
1,36,llms,0.005953509177350598
1,37,com,0.005741850750012994
1,38,command,0.0056967579157905
1,39,trojan,0.00561364301604761
1,40,info stealing,0.00557821871556132
1,41,phishing threats,0.00557821871556132
1,42,phishing protection,0.005515279506693444
1,43,ukraine,0.005515279506693444
1,44,fraud trends,0.005503401312708344
1,45,banking trojans,0.005348264806053306
1,46,android banking,0.005293861178039518
1,47,despite,0.0052633631875119114
1,48,identifying,0.0052429741371492885
1,49,smishing,0.005133785123441581
1,50,redline,0.005133785123441581
2,1,pci,0.04973974150399184
2,2,pci compliance,0.02480269265770064
2,3,cardholder data,0.021901755604405493
2,4,merchants,0.021436766103077237
2,5,standards,0.020117079041505125
2,6,certification,0.01891186624575003
2,7,issuers,0.0174441721270536
2,8,payment security,0.01690073906233459
2,9,ds certification,0.014201391779686484
2,10,payment authentication,0.014174813407119333
2,11,pci ds,0.013142638556424075
2,12,card issuers,0.013042808327447112
2,13,merchant,0.01251589869302909
2,14,identity proofing,0.011728848638340025
2,15,proofing,0.011728848638340025
2,16,sca,0.011347119747450018
2,17,secure authentication,0.011142406206423023
2,18,avs,0.010672586906016251
2,19,nist,0.010197211228889056
2,20,outseer secure,0.010123548023551282
2,21,click pay,0.009969521342589022
2,22,visa,0.009954642050251629
2,23,flow,0.009617370622373719
2,24,compliant,0.009318749877641046
2,25,online transactions,0.009257416502333363
2,26,document,0.009198812365983982
2,27,emv payments,0.009152279307613349
2,28,checkout,0.009146323488541443
2,29,meet,0.009142705082729791
2,30,fido,0.008848570711334783
2,31,proofing authentication,0.008621742083443813
2,32,authenticate,0.008572202941283113
2,33,access cardholder,0.00793197539993157
2,34,dss,0.00793197539993157
2,35,issuer,0.00766807488924652
2,36,pci dss,0.007390064642951839
2,37,emvco,0.007390064642951839
2,38,encryption,0.00725799067679154
2,39,financial data,0.0070880332808801304
2,40,biometric,0.007055443144166106
2,41,chap,0.006992900987755221
2,42,payment card,0.006989062408230786
2,43,prevent fraud,0.0066863294528975705
2,44,testing,0.006669939701466562
2,45,regional,0.00635718271614111
2,46,authenticators,0.00635718271614111
2,47,regulations,0.006352115496782849
2,48,cvv,0.006324183501613987
2,49,audit,0.006285454433120176
2,50,authorization,0.006219473504861107
